IL,XL,K,X,Y,Z
60,360,0,457076.778,7322686.615,2529.892
60,360,1,457075.794,7322688.849,2540.826
60,360,2,457074.726,7322691.251,2552.506
60,360,3,457073.876,7322693.161,2561.785
60,360,4,457073.273,7322694.491,2568.171
60,360,5,457072.794,7322695.560,2573.341
60,360,6,457072.278,7322696.710,2578.894
60,360,7,457071.725,7322697.940,2584.831
60,360,8,457071.276,7322698.927,2589.561
60,360,9,457070.411,7322700.892,2599.166
60,360,10,457069.438,7322703.103,2609.997
60,360,11,457069.058,7322703.960,2614.173
60,360,12,457068.435,7322705.389,2621.215
60,360,13,457067.392,7322707.772,2632.913
60,360,14,457066.338,7322710.169,2644.660
60,360,15,457065.383,7322712.328,2655.198
60,360,16,457064.872,7322713.503,2660.987
60,360,17,457064.635,7322714.069,2663.850
60,360,18,457063.641,7322716.256,2674.333
60,360,19,457061.775,7322720.435,2694.603
60,360,20,457058.898,7322727.006,2726.876
60,360,21,457055.888,7322733.930,2761.028
60,370,0,457129.807,7322752.974,2532.978
60,370,1,457128.167,7322755.623,2544.046
60,370,2,457126.464,7322758.379,2555.576
60,370,3,457125.162,7322760.499,2564.488
60,370,4,457124.262,7322761.958,2570.590
60,370,5,457123.518,7322763.164,2575.635
60,370,6,457122.728,7322764.444,2580.997
60,370,7,457121.894,7322765.799,2586.675
60,370,8,457121.232,7322766.873,2591.171
60,370,9,457119.821,7322769.158,2600.741
60,370,10,457118.208,7322771.766,2611.647
60,370,11,457117.602,7322772.748,2615.763
60,370,12,457116.583,7322774.407,2622.742
60,370,13,457114.861,7322777.198,2634.446
60,370,14,457113.135,7322779.994,2646.166
60,370,15,457111.573,7322782.521,2656.726
60,370,16,457110.706,7322783.924,2662.604
60,370,17,457110.286,7322784.611,2665.514
60,370,18,457108.750,7322787.086,2675.809
60,370,19,457105.769,7322791.903,2695.918
60,370,20,457101.033,7322799.583,2728.134
60,370,21,457096.036,7322807.701,2762.249
60,380,0,457180.216,7322820.679,2535.364
60,380,1,457178.248,7322823.583,2546.547
60,380,2,457176.265,7322826.524,2557.908
60,380,3,457174.796,7322828.719,2566.438
60,380,4,457173.791,7322830.217,2572.246
60,380,5,457172.936,7322831.487,2577.160
60,380,6,457172.041,7322832.820,2582.327
60,380,7,457171.105,7322834.216,2587.746
60,380,8,457170.370,7322835.313,2592.003
60,380,9,457168.707,7322837.777,2601.518
60,380,10,457166.784,7322840.620,2612.479
60,380,11,457166.078,7322841.667,2616.529
60,380,12,457164.880,7322843.451,2623.436
60,380,13,457162.838,7322846.478,2635.129
60,380,14,457160.797,7322849.503,2646.811
60,380,15,457158.944,7322852.244,2657.382
60,380,16,457157.899,7322853.788,2663.335
60,380,17,457157.390,7322854.547,2666.276
60,380,18,457155.624,7322857.157,2676.340
60,380,19,457152.141,7322862.309,2696.221
60,380,20,457146.546,7322870.607,2728.281
60,380,21,457140.628,7322879.390,2762.246
60,390,0,457228.978,7322887.840,2536.479
60,390,1,457226.893,7322891.041,2547.589
60,390,2,457224.817,7322894.259,2558.747
60,390,3,457223.301,7322896.646,2567.012
60,390,4,457222.268,7322898.269,2572.630
60,390,5,457221.377,7322899.655,2577.435
60,390,6,457220.450,7322901.106,2582.461
60,390,7,457219.486,7322902.621,2587.706
60,390,8,457218.732,7322903.807,2591.812
60,390,9,457216.983,7322906.514,2601.198
60,390,10,457214.950,7322909.646,2612.062
60,390,11,457214.212,7322910.793,2616.038
60,390,12,457212.954,7322912.757,2622.840
60,390,13,457210.801,7322916.094,2634.405
60,390,14,457208.652,7322919.425,2645.949
60,390,15,457206.696,7322922.442,2656.414
60,390,16,457205.588,7322924.150,2662.336
60,390,17,457205.048,7322924.993,2665.256
60,390,18,457203.208,7322927.828,2675.100
60,390,19,457199.558,7322933.461,2694.647
60,390,20,457193.674,7322942.573,2726.250
60,390,21,457187.450,7322952.225,2759.724
60,400,0,457276.434,7322958.007,2541.584
60,400,1,457274.292,7322961.245,2552.206
60,400,2,457272.193,7322964.433,2562.659
60,400,3,457270.695,7322966.731,2570.184
60,400,4,457269.665,7322968.311,2575.354
60,400,5,457268.765,7322969.685,2579.852
60,400,6,457267.838,7322971.104,2584.496
60,400,7,457266.883,7322972.567,2589.286
60,400,8,457266.116,7322973.759,2593.162
60,400,9,457264.217,7322976.764,2602.813
60,400,10,457261.995,7322980.268,2614.073
60,400,11,457261.199,7322981.530,2618.128
60,400,12,457259.847,7322983.676,2625.019
60,400,13,457257.524,7322987.342,2636.811
60,400,14,457255.243,7322990.904,2648.326
60,400,15,457253.163,7322994.138,2658.795
60,400,16,457251.967,7322996.010,2664.834
60,400,17,457251.391,7322996.920,2667.764
60,400,18,457249.408,7323000.032,2677.794
60,400,19,457245.540,7323006.044,2697.265
60,400,20,457239.267,7323015.870,2728.985
60,400,21,457232.558,7323026.472,2763.077
60,410,0,457321.920,7323031.983,2545.025
60,410,1,457319.630,7323034.769,2555.296
60,410,2,457317.407,7323037.482,2565.293
60,410,3,457315.843,7323039.406,2572.377
60,410,4,457314.761,7323040.737,2577.277
60,410,5,457313.809,7323041.905,2581.579
60,410,6,457312.834,7323043.103,2585.989
60,410,7,457311.835,7323044.330,2590.507
60,410,8,457311.023,7323045.343,2594.232
60,410,9,457308.944,7323047.979,2603.911
